City,Population,Violent,Murder and,Rape,Rape,Robbery,Aggravated,Property,Burglary,Larceny-,Motor,Arson,,,,,
,,crime,nonnegligent,(revised,(legacy,,assault,crime,,theft,vehicle,,,,,,
,,,manslaughter,definition1),definition2),,,,,,theft,,,,,Lat,Long
Hinckley,"2,056",0,0,0,,0,0,18,5,13,0,0,"Hinckley, IL",#ERROR!,-92.9388889,,
Hinsdale,"17,790",5,0,1,,4,0,181,12,154,15,0,"Hinsdale, IL",#ERROR!,-87.9370052,,
Hodgkins,"1,862",7,0,0,,1,6,224,5,217,2,1,"Hodgkins, IL",41.7689207,-87.857835,,
Hoffman Estates,"52,177",55,0,11,,15,29,429,52,353,24,0,"Hoffman Estates, IL",42.0629915,-88.1227199,,
Homer,"1,199",0,0,0,,0,0,3,0,3,0,0,"Homer, IL",40.453506,-75.819221,,
Homer Glen,"24,421",6,1,0,,2,3,116,20,92,4,0,"Homer Glen, IL",#ERROR!,#ERROR!,,
Hometown,"4,340",5,0,1,,1,3,40,4,31,5,0,"Hometown, IL",37.6776277,-96.9799929,,
Homewood,"19,379",38,0,4,,22,12,569,72,486,11,1,"Homewood, IL",39.0862733,-120.1607425,,
Hoopeston,"5,194",17,0,1,,2,14,169,46,115,8,2,"Hoopeston, IL",40.4672587,-87.6683573,,
Hopedale,839,0,0,0,,0,0,11,5,6,0,0,"Hopedale, IL",42.1306357,-71.5412077,,
Hudson,"1,847",3,0,1,,0,2,10,2,8,0,0,"Hudson, IL",41.240056,-81.440667,,
Huntley,"26,345",7,0,0,,2,5,213,25,186,2,1,"Huntley, IL",#ERROR!,-88.4281415,,
Ina,"2,365",5,0,0,,0,5,3,0,2,1,0,"Ina, IL",#ERROR!,-77.3712698,,
Indian Head Park,"3,827",0,0,0,,0,0,33,1,29,3,0,"Indian Head Park, IL",#ERROR!,#ERROR!,,
Indianola,269,0,0,0,,0,0,0,0,0,0,0,"Indianola, IL",#ERROR!,-93.5574376,,
Island Lake,"8,079",8,0,3,,0,5,60,6,52,2,0,"Island Lake, IL",42.2761341,#ERROR!,,
