Population,Violent,Murder and,Rape,Rape,Robbery,Aggravated,Property,Burglary,Larceny-,Motor,Arson,,,
,crime,nonnegligent,(revised,(legacy,,assault,crime,,theft,vehicle,,,,
,,manslaughter,definition1),definition2),,,,,,theft,,,,
14134,17,0,3,,6,8,138,13,114,11,1,"Hickory Hills, IL",41.7255879,-87.825055
29737,21,0,7,,4,10,265,22,231,12,0,"Highland Park, IL",42.1816918,-87.8003437
5337,3,0,0,,1,2,37,2,31,4,0,"Highwood, IL",42.1997468,-87.8092335
5635,14,0,3,,0,11,70,15,49,6,0,"Hillsboro, IL",39.1611586,-89.4936989
509,0,0,0,,0,0,2,0,2,0,0,"Hillsdale, IL",41.6136437,-90.1728998
2056,0,0,0,,0,0,18,5,13,0,0,"Hinckley, IL",41.7689183,-88.640913
17790,5,0,1,,4,0,181,12,154,15,0,"Hinsdale, IL",41.8008642,-87.9370052
1862,7,0,0,,1,6,224,5,217,2,1,"Hodgkins, IL",41.7689207,-87.857835
52177,55,0,11,,15,29,429,52,353,24,0,"Hoffman Estates, IL",42.0629915,-88.1227199
1199,0,0,0,,0,0,3,0,3,0,0,"Homer, IL",40.0347569,-87.9580892
24421,6,1,0,,2,3,116,20,92,4,0,"Homer Glen, IL",41.6000317,-87.9381112
4340,5,0,1,,1,3,40,4,31,5,0,"Hometown, IL",41.7306407,-87.7319495
19379,38,0,4,,22,12,569,72,486,11,1,"Homewood, IL",41.5676825,-87.6541852
5194,17,0,1,,2,14,169,46,115,8,2,"Hoopeston, IL",40.4672587,-87.6683573
839,0,0,0,,0,0,11,5,6,0,0,"Hopedale, IL",40.4208735,-89.4145404
1847,3,0,1,,0,2,10,2,8,0,0,"Hudson, IL",40.6058688,-88.9872965
26345,7,0,0,,2,5,213,25,186,2,1,"Huntley, IL",42.1680796,-88.4281415
2365,5,0,0,,0,5,3,0,2,1,0,"Ina, IL",38.1511606,-88.9039554
3827,0,0,0,,0,0,33,1,29,3,0,"Indian Head Park, IL",41.7698632,-87.8969665
269,0,0,0,,0,0,0,0,0,0,0,"Indianola, IL",39.927258,-87.740025
8079,8,0,3,,0,5,60,6,52,2,0,"Island Lake, IL",42.2761341,-88.1920272
8825,2,0,0,,2,0,78,8,66,4,0,"Itasca, IL",41.9750287,-88.0072909
19039,61,0,6,,4,51,602,102,494,6,1,"Jacksonville, IL",39.733936,-90.2290098
1645,2,0,0,,1,1,27,4,22,1,1,"Jerome, IL",39.767551,-89.6806558
8470,25,0,12,,0,13,260,44,207,9,0,"Jerseyville, IL",39.1200471,-90.3284479
6303,5,0,4,,0,1,127,0,126,1,0,"Johnsburg, IL",42.3800209,-88.2420315
147886,488,10,51,,128,299,2801,517,2143,141,64,"Joliet, IL",41.525031,-88.0817251
