225,Peru,9896,41.3275349,-89.1289728,Peru_IL,41.3275349,-89.1289728
226,Winfield,9835,41.8616956,-88.1609031,Winfield_IL,41.8616956,-88.1609031
227,Flossmoor,9704,41.5428123,-87.6847684,Flossmoor_IL,41.5428123,-87.6847684
228,Steger,9584,41.4700348,-87.636432,Steger_IL,41.4700348,-87.636432
229,LaSalle,9582,41.3621503,-89.0418249,LaSalle_IL,41.3621503,-89.0418249
230,Itasca,9543,41.9750287,-88.0072909,Itasca_IL,41.9750287,-88.0072909
231,Harvard,9469,42.422241,-88.6137101,Harvard_IL,42.422241,-88.6137101
232,Rochelle,9446,41.9239178,-89.0687073,Rochelle_IL,41.9239178,-89.0687073
233,Mahomet,9434,40.1953106,-88.4042234,Mahomet_IL,40.1953106,-88.4042234
234,Manhattan,9385,41.4225316,-87.9858863,Manhattan_IL,41.4225316,-87.9858863
235,Bethalto,9310,38.9092138,-90.0406608,Bethalto_IL,38.9092138,-90.0406608
236,Riverside,9298,41.8350316,-87.8228357,Riverside_IL,41.8350316,-87.8228357
237,Sugar Grove,9278,41.7614181,-88.443686,Sugar Grove_IL,41.7614181,-88.443686
238,Willowbrook,9236,41.7697533,-87.9358931,Willowbrook_IL,41.7697533,-87.9358931
239,Manteno,9210,41.2505881,-87.8314324,Manteno_IL,41.2505881,-87.8314324
240,Lynwood,9116,41.5234885,-87.558379,Lynwood_IL,41.5234885,-87.558379
241,Harwood Heights,9065,41.9672532,-87.8075612,Harwood Heights_IL,41.9672532,-87.8075612
242,Hawthorn Woods,9062,42.2169686,-88.0495211,Hawthorn Woods_IL,42.2169686,-88.0495211
243,Frankfort Square,8968,41.5189226,-87.8031048,Frankfort Square_IL,41.5189226,-87.8031048
244,Monmouth,8902,40.9114271,-90.6473576,Monmouth_IL,40.9114271,-90.6473576
245,Savoy,8857,40.054753,-88.2517165,Savoy_IL,40.054753,-88.2517165
246,Glencoe,8849,42.1350268,-87.7581188,Glencoe_IL,42.1350268,-87.7581188
247,Rock Falls,8789,41.7797533,-89.6889967,Rock Falls_IL,41.7797533,-89.6889967
248,Mascoutah,8754,38.490327,-89.793154,Mascoutah_IL,38.490327,-89.793154
249,Lake Villa,8741,42.4169651,-88.0739708,Lake Villa_IL,42.4169651,-88.0739708
250,Clarendon Hills,8702,41.7975307,-87.9547835,Clarendon Hills_IL,41.7975307,-87.9547835
251,Olney,8701,38.7308811,-88.0853154,Olney_IL,38.7308811,-88.0853154
252,Glenwood,8662,41.5425349,-87.6022658,Glenwood_IL,41.5425349,-87.6022658
253,Crete,8465,41.4444791,-87.6314312,Crete_IL,41.4444791,-87.6314312
254,Boulder Hill,8394,41.7113112,-88.3360765,Boulder Hill_IL,41.7113112,-88.3360765
255,Gilberts and Long Grove,8366,42.1033585,-88.3728605,Gilberts and Long Grove_IL,42.1033585,-88.3728605
256,Jerseyville,8337,39.1200471,-90.3284479,Jerseyville_IL,39.1200471,-90.3284479
257,Hillside,8320,41.8778084,-87.9028398,Hillside_IL,41.8778084,-87.9028398
258,Paris,8291,39.611146,-87.6961374,Paris_IL,39.611146,-87.6961374
259,Maryville,8221,38.7244997,-89.9572444,Maryville_IL,38.7244997,-89.9572444
260,Harrisburg,8219,37.7383812,-88.540607,Harrisburg_IL,37.7383812,-88.540607
261,Oak Brook,8163,41.8397865,-87.9535534,Oak Brook_IL,41.8397865,-87.9535534
262,Island Lake,8051,42.2761341,-88.1920272,Island Lake_IL,42.2761341,-88.1920272
263,Silvis,8003,41.5122561,-90.4151301,Silvis_IL,41.5122561,-90.4151301
264,Broadview,7998,41.8639201,-87.8533931,Broadview_IL,41.8639201,-87.8533931
265,South Beloit,7989,42.4930708,-89.0367763,South Beloit_IL,42.4930708,-89.0367763
266,Lincolnshire,7940,42.1900249,-87.9084039,Lincolnshire_IL,42.1900249,-87.9084039
267,Park City,7885,42.3483554,-87.8842397,Park City_IL,42.3483554,-87.8842397
268,Rockton,7863,42.4525157,-89.0723317,Rockton_IL,42.4525157,-89.0723317
269,Princeton,7832,41.3680919,-89.4648145,Princeton_IL,41.3680919,-89.4648145
270,West Dundee,7686,42.0980812,-88.2828581,West Dundee_IL,42.0980812,-88.2828581
271,Round Lake Park,7680,42.3569661,-88.0767474,Round Lake Park_IL,42.3569661,-88.0767474
272,Hampshire,7667,42.0978027,-88.5303643,Hampshire_IL,42.0978027,-88.5303643
273,Inverness,7616,42.1180815,-88.0961865,Inverness_IL,42.1180815,-88.0961865
274,Marengo,7568,42.2486332,-88.6084269,Marengo_IL,42.2486332,-88.6084269
275,Vandalia,7458,38.9606009,-89.0936778,Vandalia_IL,38.9606009,-89.0936778
276,North Riverside,7426,41.8461167,-87.8157429,North Riverside_IL,41.8461167,-87.8157429
277,Salem,7282,38.6269929,-88.9456158,Salem_IL,38.6269929,-88.9456158
278,West Frankfort,7275,37.8985966,-88.9233622,West Frankfort_IL,37.8985966,-88.9233622
279,Sandwich,7221,41.6458634,-88.6217432,Sandwich_IL,41.6458634,-88.6217432
280,Robinson,7150,39.0053201,-87.7391935,Robinson_IL,39.0053201,-87.7391935
281,University Park,7145,41.4400344,-87.6833769,University Park_IL,41.4400344,-87.6833769
282,Stickney,7110,41.8177521,-87.7923613,Stickney_IL,41.8177521,-87.7923613
283,Murphysboro,7093,37.7644952,-89.3350888,Murphysboro_IL,37.7644952,-89.3350888
284,Greenville,7083,38.8922687,-89.4131356,Greenville_IL,38.8922687,-89.4131356
285,Mendota,7061,41.5472547,-89.1175851,Mendota_IL,41.5472547,-89.1175851
286,Calumet Park,7025,41.6628909,-87.6607948,Calumet Park_IL,41.6628909,-87.6607948
287,Mount Carmel,7015,38.4108801,-87.7614174,Mount Carmel_IL,38.4108801,-87.7614174
288,Clinton,7004,40.1536479,-88.9645253,Clinton_IL,40.1536479,-88.9645253
289,Orland Hills,6893,41.5853107,-87.8431078,Orland Hills_IL,41.5853107,-87.8431078
290,Chester,6814,37.9136628,-89.8220505,Chester_IL,37.9136628,-89.8220505
291,Benton,6709,37.9967163,-88.9200685,Benton_IL,37.9967163,-88.9200685
292,Winthrop Harbor,6705,42.4789097,-87.8236841,Winthrop Harbor_IL,42.4789097,-87.8236841
293,Litchfield,6605,39.1753256,-89.6542579,Litchfield_IL,39.1753256,-89.6542579
294,Geneseo,6539,41.4480902,-90.1542848,Geneseo_IL,41.4480902,-90.1542848
295,Countryside,6420,41.766022,-87.879523,Countryside_IL,41.766022,-87.879523
296,Johnsburg,6355,42.3800209,-88.2420315,Johnsburg_IL,42.3800209,-88.2420315
297,Braidwood,6194,41.2650318,-88.2122823,Braidwood_IL,41.2650318,-88.2122823
298,Lakemoor,6182,42.3286331,-88.1989732,Lakemoor_IL,42.3286331,-88.1989732
299,Elburn,6175,41.8922499,-88.4723014,Elburn_IL,41.8922499,-88.4723014
300,Chillicothe,6128,40.9222589,-89.4862025,Chillicothe_IL,40.9222589,-89.4862025
301,Volo,6122,42.3261332,-88.167861,Volo_IL,42.3261332,-88.167861
302,Mount Zion,6019,39.7714252,-88.8742405,Mount Zion_IL,39.7714252,-88.8742405
303,Metropolis,5969,37.1511655,-88.7319979,Metropolis_IL,37.1511655,-88.7319979
304,Beardstown,5951,40.0175483,-90.4242916,Beardstown_IL,40.0175483,-90.4242916
305,Bartonville,5945,40.6503158,-89.6520455,Bartonville_IL,40.6503158,-89.6520455
306,Monticello,5941,40.0278116,-88.5733979,Monticello_IL,40.0278116,-88.5733979
307,Peoria Heights,5908,40.7472594,-89.5739845,Peoria Heights_IL,40.7472594,-89.5739845
